"Year","Fruit","District","Production","Extent"
2001,"Mangoes","Polonnaruwa",24195,1274
2001,"Mangoes","Badulla",17576,690
2001,"Mangoes","Monaragala",18735,1066
2001,"Mangoes","Ratnapura",20270,1019
2001,"Mangoes","Kegalle",22302,1128
2002,"Mangoes","Colombo",3923,735
2002,"Mangoes","Gampaha",47693,2611
2002,"Mangoes","Kaluthara",17552,709
2002,"Mangoes","Kandy",27840,1809
2002,"Mangoes","Matale",20298,1458
2002,"Mangoes","Nuwara Eliya",10990,544
2002,"Mangoes","Galle",11928,919
2002,"Mangoes","Matara",13655,1075
2002,"Mangoes","Hanbantota",33284,1712
2002,"Mangoes","Jaffna",2444,423
2002,"Mangoes","Mannar",1160,60
2002,"Mangoes","Vavuniya",793,42
2002,"Mangoes","Kilinochchi",226,83
2002,"Mangoes","Batticaloa",4745,389
2002,"Mangoes","Ampara",8865,856
2002,"Mangoes","Trincomalee",3289,266
2002,"Mangoes","Kurunegala",121365,5388
2002,"Mangoes","Puttalam",13585,1030
2002,"Mangoes","Anuradhapura",19058,1120
2002,"Mangoes","Polonnaruwa",24183,1206
2002,"Mangoes","Badulla",17686,690
2002,"Mangoes","Monaragala",18915,1098
2002,"Mangoes","Ratnapura",20232,1010
2002,"Mangoes","Kegalle",22999,1137
2003,"Mangoes","Colombo",3036,567
2003,"Mangoes","Gampaha",40066,2298
2003,"Mangoes","Kaluthara",19687,881
2003,"Mangoes","Kandy",29089,1925
2003,"Mangoes","Matale",18418,1419
2003,"Mangoes","Nuwara Eliya",11880,593
2003,"Mangoes","Galle",12585,1040
2003,"Mangoes","Matara",26698,2068
2003,"Mangoes","Hanbantota",29634,1590
2003,"Mangoes","Jaffna",2477,429
2003,"Mangoes","Mannar",1050,72
2003,"Mangoes","Vavuniya",595,42
2003,"Mangoes","Mullativu",3600,134
2003,"Mangoes","Kilinochchi",2000,115
2003,"Mangoes","Batticaloa",5419,461
2003,"Mangoes","Ampara",9111,973
2003,"Mangoes","Trincomalee",3317,262
2003,"Mangoes","Kurunegala",121475,5349
2003,"Mangoes","Puttalam",15747,1202
2003,"Mangoes","Anuradhapura",23348,1223
2003,"Mangoes","Polonnaruwa",24254,1091
2003,"Mangoes","Badulla",17723,693
2003,"Mangoes","Monaragala",21741,1501
2003,"Mangoes","Ratnapura",16982,900
2003,"Mangoes","Kegalle",21645,1128
2004,"Mangoes","Colombo",2221,415
2004,"Mangoes","Gampaha",41059,2244
2004,"Mangoes","Kaluthara",13761,699
2004,"Mangoes","Kandy",26320,1926
2004,"Mangoes","Matale",16222,1253
2004,"Mangoes","Nuwara Eliya",12290,616
2004,"Mangoes","Galle",8500,650
2004,"Mangoes","Matara",25855,1884
2004,"Mangoes","Hanbantota",32583,1630
2004,"Mangoes","Jaffna",2530,429
2004,"Mangoes","Mannar",1548,83
2004,"Mangoes","Vavuniya",780,42
2004,"Mangoes","Mullativu",3600,132
2004,"Mangoes","Kilinochchi",2022,115
2004,"Mangoes","Batticaloa",5949,479
2004,"Mangoes","Ampara",7179,790
2004,"Mangoes","Trincomalee",3317,262
2004,"Mangoes","Kurunegala",120639,5358
2004,"Mangoes","Puttalam",13260,1098
2004,"Mangoes","Anuradhapura",23359,1223
2004,"Mangoes","Polonnaruwa",13327,949
2004,"Mangoes","Badulla",18759,679
2004,"Mangoes","Monaragala",21083,1247
2004,"Mangoes","Ratnapura",17746,893
2004,"Mangoes","Kegalle",21585,1098
2005,"Mangoes","Colombo",3876,429
2005,"Mangoes","Gampaha",40622,2183
2005,"Mangoes","Kaluthara",11651,807
2005,"Mangoes","Kandy",29901,1845
2005,"Mangoes","Matale",15959,1218
2005,"Mangoes","Nuwara Eliya",12335,616
2005,"Mangoes","Galle",10547,762
2005,"Mangoes","Matara",20487,1510
2005,"Mangoes","Hanbantota",27092,1325
2005,"Mangoes","Jaffna",5957,508
2005,"Mangoes","Mannar",1198,72
2005,"Mangoes","Vavuniya",1871,126
2005,"Mangoes","Mullativu",3960,134
2005,"Mangoes","Kilinochchi",2022,115
2005,"Mangoes","Batticaloa",5428,462
2005,"Mangoes","Ampara",6435,972
2005,"Mangoes","Trincomalee",4016,363
2005,"Mangoes","Kurunegala",110807,5475
2005,"Mangoes","Puttalam",13611,957
2005,"Mangoes","Anuradhapura",35673,1900
2005,"Mangoes","Polonnaruwa",11241,993
2005,"Mangoes","Badulla",20176,674
2005,"Mangoes","Monaragala",21925,1349
2005,"Mangoes","Ratnapura",23220,1179
2005,"Mangoes","Kegalle",19935,1070
2006,"Mangoes","Colombo",2726,534
2006,"Mangoes","Gampaha",36157,2049
2006,"Mangoes","Kaluthara",9777,803
2006,"Mangoes","Kandy",29561,1813
2006,"Mangoes","Matale",14934,1108
2006,"Mangoes","Nuwara Eliya",14395,617
2006,"Mangoes","Galle",9617,728
2006,"Mangoes","Matara",21317,1542
2006,"Mangoes","Hanbantota",25572,1166
2006,"Mangoes","Jaffna",5260,465
2006,"Mangoes","Mannar",1298,77
2006,"Mangoes","Vavuniya",2066,121
2006,"Mangoes","Mullativu",4583,140
2006,"Mangoes","Kilinochchi",2022,115
2006,"Mangoes","Batticaloa",5255,441
2006,"Mangoes","Ampara",3359,631
2006,"Mangoes","Trincomalee",4076,361
2006,"Mangoes","Kurunegala",89206,4768
2006,"Mangoes","Puttalam",13611,957
2006,"Mangoes","Anuradhapura",29267,1565
2006,"Mangoes","Polonnaruwa",11223,887
2006,"Mangoes","Badulla",21300,691
2006,"Mangoes","Monaragala",22882,1293
2006,"Mangoes","Ratnapura",22951,1210
2006,"Mangoes","Kegalle",20102,1070
2007,"Mangoes","Colombo",2035,428
2007,"Mangoes","Gampaha",34538,1958
2007,"Mangoes","Kaluthara",15384,940
2007,"Mangoes","Kandy",27370,1758
2007,"Mangoes","Matale",14265,1096
2007,"Mangoes","Nuwara Eliya",12234,615
2007,"Mangoes","Galle",7983,722
2007,"Mangoes","Matara",15954,1373
2007,"Mangoes","Hanbantota",26900,1181
2007,"Mangoes","Jaffna",5260,465
2007,"Mangoes","Mannar",470,34
2007,"Mangoes","Vavuniya",1261,74
2007,"Mangoes","Mullativu",4583,140
2007,"Mangoes","Kilinochchi",2022,115
2007,"Mangoes","Batticaloa",4439,385
2007,"Mangoes","Ampara",6039,701
2007,"Mangoes","Trincomalee",3189,435
2007,"Mangoes","Kurunegala",88313,4634
2007,"Mangoes","Puttalam",13722,880
2007,"Mangoes","Anuradhapura",34486,1770
2007,"Mangoes","Polonnaruwa",13290,890
2007,"Mangoes","Badulla",21402,714
2007,"Mangoes","Monaragala",22681,1535
2007,"Mangoes","Ratnapura",23601,1191
2007,"Mangoes","Kegalle",19639,1065
2008,"Mangoes","Colombo",3661,361
2008,"Mangoes","Gampaha",14534,1835
2008,"Mangoes","Kaluthara",16081,928
2008,"Mangoes","Kandy",27625,1862
2008,"Mangoes","Matale",15799,1043
2008,"Mangoes","Nuwara Eliya",10624,556
2008,"Mangoes","Galle",12700,853
2008,"Mangoes","Matara",21335,1384
2008,"Mangoes","Hanbantota",21281,1255
2008,"Mangoes","Jaffna",5260,465
2008,"Mangoes","Mannar",876,44
2008,"Mangoes","Vavuniya",1073,69
2008,"Mangoes","Mullativu",633,56
2008,"Mangoes","Kilinochchi",509,46
2008,"Mangoes","Batticaloa",5723,500
2008,"Mangoes","Ampara",7970,873
2008,"Mangoes","Trincomalee",3134,428
2008,"Mangoes","Kurunegala",75855,4620
2008,"Mangoes","Puttalam",15174,972
2008,"Mangoes","Anuradhapura",28694,1748
2008,"Mangoes","Polonnaruwa",15515,858
2008,"Mangoes","Badulla",16668,832
2008,"Mangoes","Monaragala",30507,1843
2008,"Mangoes","Ratnapura",25363,1214
2008,"Mangoes","Kegalle",11812,923
2010,"Mangoes","Colombo",2013,399
2010,"Mangoes","Gampaha",28194,1710
2010,"Mangoes","Kaluthara",16437,868
2010,"Mangoes","Kandy",25312,1854
2010,"Mangoes","Matale",20615,1159
2010,"Mangoes","Nuwara Eliya",7506,415
2010,"Mangoes","Galle",13591,970
2010,"Mangoes","Matara",18767,1633
2010,"Mangoes","Hanbantota",31371,1590
2010,"Mangoes","Jaffna",3457,289
2010,"Mangoes","Mannar",1924,212
2010,"Mangoes","Vavuniya",346,44
2010,"Mangoes","Mullativu",985,132
2010,"Mangoes","Kilinochchi",1590,68
2010,"Mangoes","Batticaloa",5818,508
2010,"Mangoes","Ampara",8589,938
2010,"Mangoes","Trincomalee",3674,350
2010,"Mangoes","Kurunegala",69385,4533
2010,"Mangoes","Puttalam",13036,977
2010,"Mangoes","Anuradhapura",22317,1735
2010,"Mangoes","Polonnaruwa",16147,871
2010,"Mangoes","Badulla",21217,960
2010,"Mangoes","Monaragala",31933,1932
2010,"Mangoes","Ratnapura",24424,1311
2010,"Mangoes","Kegalle",13414,929
2011,"Mangoes","Colombo",2024,402
2011,"Mangoes","Gampaha",24233,1507
2011,"Mangoes","Kaluthara",17178,897
2011,"Mangoes","Kandy",27873,2003
2011,"Mangoes","Matale",20615,1159
2011,"Mangoes","Nuwara Eliya",8566,479
2011,"Mangoes","Galle",12533,979
2011,"Mangoes","Matara",12189,1167
2011,"Mangoes","Hanbantota",31943,1682
2011,"Mangoes","Jaffna",4578,425
2011,"Mangoes","Mannar",3914,219
2011,"Mangoes","Vavuniya",1205,123
2011,"Mangoes","Mullativu",1496,134
2011,"Mangoes","Kilinochchi",1290,60
2011,"Mangoes","Batticaloa",5656,510
2011,"Mangoes","Ampara",10614,921
2011,"Mangoes","Trincomalee",3821,357
2011,"Mangoes","Kurunegala",68222,4514
2011,"Mangoes","Puttalam",12310,1007
2011,"Mangoes","Anuradhapura",29129,2121
2011,"Mangoes","Polonnaruwa",12055,875
2011,"Mangoes","Badulla",21871,1049
2011,"Mangoes","Monaragala",31933,1932
2011,"Mangoes","Ratnapura",22843,1306
2011,"Mangoes","Kegalle",13647,925
2012,"Mangoes","Colombo",2064,407
2012,"Mangoes","Gampaha",17366,1777
2012,"Mangoes","Kaluthara",16978,922
2012,"Mangoes","Kandy",14339,1972
2012,"Mangoes","Matale",19380,1113
2012,"Mangoes","Nuwara Eliya",8620,492
2012,"Mangoes","Galle",16316,1092
2012,"Mangoes","Matara",13809,1193
2012,"Mangoes","Hanbantota",25473,1584
2012,"Mangoes","Jaffna",4046,373
2012,"Mangoes","Mannar",4155,209
2012,"Mangoes","Vavuniya",1188,136
2012,"Mangoes","Mullativu",1300,296
2012,"Mangoes","Kilinochchi",1524,60
2012,"Mangoes","Batticaloa",5376,531
2012,"Mangoes","Ampara",11712,816
2012,"Mangoes","Trincomalee",4801,338
2012,"Mangoes","Kurunegala",65392,4331
2012,"Mangoes","Puttalam",18015,1068
2012,"Mangoes","Anuradhapura",27274,2237
2012,"Mangoes","Polonnaruwa",8687,890
2012,"Mangoes","Badulla",23984,1003
2012,"Mangoes","Monaragala",21471,2259
2012,"Mangoes","Ratnapura",20833,1235
2012,"Mangoes","Kegalle",12441,882
2013,"Mangoes","Colombo",2122,423
2013,"Mangoes","Gampaha",19248,2055
2013,"Mangoes","Kaluthara",17529,916
2013,"Mangoes","Kandy",10588,1911
2013,"Mangoes","Matale",15694,1116
2013,"Mangoes","Nuwara Eliya",7750,475
2013,"Mangoes","Galle",14010,962
2013,"Mangoes","Matara",16599,1320
2013,"Mangoes","Hanbantota",38523,1446
2013,"Mangoes","Jaffna",4355,409
2013,"Mangoes","Mannar",2106,212
2013,"Mangoes","Vavuniya",2167,147
2013,"Mangoes","Mullativu",1824,160
2013,"Mangoes","Kilinochchi",2863,119
2013,"Mangoes","Batticaloa",5432,514
2013,"Mangoes","Ampara",16117,881
2013,"Mangoes","Trincomalee",4880,365
2013,"Mangoes","Kurunegala",65546,4349
2013,"Mangoes","Puttalam",17668,932
2013,"Mangoes","Anuradhapura",26066,2147
2013,"Mangoes","Polonnaruwa",13804,799
2013,"Mangoes","Badulla",20465,843
2013,"Mangoes","Monaragala",21368,1949
2013,"Mangoes","Ratnapura",23849,1366
2013,"Mangoes","Kegalle",14635,952
2014,"Mangoes","Colombo",10998,1102
2014,"Mangoes","Gampaha",19567,2101
2014,"Mangoes","Kaluthara",14986,851
2014,"Mangoes","Kandy",12549,1954
2014,"Mangoes","Matale",12558,1209
2014,"Mangoes","Nuwara Eliya",2857,500
2014,"Mangoes","Galle",14730,1001
2014,"Mangoes","Matara",13378,1270
2014,"Mangoes","Hanbantota",20656,1747
2014,"Mangoes","Jaffna",7830,1566
2014,"Mangoes","Mannar",2313,229
2014,"Mangoes","Vavuniya",2305,152
2014,"Mangoes","Mullativu",182,160
2014,"Mangoes","Kilinochchi",1454,76
2014,"Mangoes","Batticaloa",4955,513
2014,"Mangoes","Ampara",14851,1181
2014,"Mangoes","Trincomalee",6157,1181
2014,"Mangoes","Kurunegala",69589,4583
2014,"Mangoes","Puttalam",17266,994
2014,"Mangoes","Anuradhapura",26536,2199
2014,"Mangoes","Polonnaruwa",12912,939
2014,"Mangoes","Badulla",16676,879
2014,"Mangoes","Monaragala",32750,2194
2014,"Mangoes","Ratnapura",27282,1498
2014,"Mangoes","Kegalle",18319,977
2015,"Mangoes","Colombo",5656,919
2015,"Mangoes","Gampaha",18604,1687
2015,"Mangoes","Kaluthara",14861,708
2015,"Mangoes","Kandy",11917,2006
2015,"Mangoes","Matale",18729,1233
2015,"Mangoes","Nuwara Eliya",7119,495
2015,"Mangoes","Galle",14880,993
2015,"Mangoes","Matara",13885,1343
2015,"Mangoes","Hanbantota",21969,1552
2015,"Mangoes","Jaffna",5604,709
2015,"Mangoes","Mannar",1620,220
2015,"Mangoes","Vavuniya",2608,175
2015,"Mangoes","Mullativu",182,160
2015,"Mangoes","Kilinochchi",31222,147
2015,"Mangoes","Batticaloa",15794,705
2015,"Mangoes","Ampara",17215,642
2015,"Mangoes","Trincomalee",14070,351
2015,"Mangoes","Kurunegala",66018,5119
2015,"Mangoes","Puttalam",11448,1022
2015,"Mangoes","Anuradhapura",26838,1571
2015,"Mangoes","Polonnaruwa",6003,803
2015,"Mangoes","Badulla",10915,843
2015,"Mangoes","Monaragala",18832,1122
2015,"Mangoes","Ratnapura",42422,1593
2015,"Mangoes","Kegalle",16562,932
2016,"Mangoes","Colombo",5700,1070
2016,"Mangoes","Gampaha",18552,1948
2016,"Mangoes","Kaluthara",13740,971
2016,"Mangoes","Kandy",13167,4337
2016,"Mangoes","Matale",12558,1209
2016,"Mangoes","Nuwara Eliya",7328,500
2016,"Mangoes","Galle",14978,984
2016,"Mangoes","Matara",13605,1505
2016,"Mangoes","Hanbantota",14823,894
2016,"Mangoes","Jaffna",5097,474
2016,"Mangoes","Mannar",1454,76
2016,"Mangoes","Vavuniya",1896,210
2016,"Mangoes","Mullativu",2893,199
2016,"Mangoes","Kilinochchi",182,160
2016,"Mangoes","Batticaloa",6371,683
2016,"Mangoes","Ampara",31627,1210
2016,"Mangoes","Trincomalee",6157,1181
2016,"Mangoes","Kurunegala",51997,3273
2016,"Mangoes","Puttalam",46111,972
2016,"Mangoes","Anuradhapura",26536,2199
2016,"Mangoes","Polonnaruwa",12912,850
2016,"Mangoes","Badulla",23155,1109
2016,"Mangoes","Monaragala",32750,2194
2016,"Mangoes","Ratnapura",39172,1498
2016,"Mangoes","Kegalle",18957,1495
2017,"Mangoes","Colombo",1649,272
2017,"Mangoes","Gampaha",21390,1592
2017,"Mangoes","Kaluthara",16695,893
2017,"Mangoes","Kandy",15333,2096
2017,"Mangoes","Matale",21946,1404
2017,"Mangoes","Nuwara Eliya",5861,504
2017,"Mangoes","Galle",31688,1161
2017,"Mangoes","Matara",14926,1525
2017,"Mangoes","Hanbantota",10351,771
2017,"Mangoes","Jaffna",5690,650
2017,"Mangoes","Mannar",1863,77
2017,"Mangoes","Vavuniya",2451,401
2017,"Mangoes","Mullativu",3049,220
2017,"Mangoes","Kilinochchi",2185,168
2017,"Mangoes","Batticaloa",7621,683
2017,"Mangoes","Ampara",12700,840
2017,"Mangoes","Trincomalee",5214,407
2017,"Mangoes","Kurunegala",55465,2398
2017,"Mangoes","Puttalam",34277,1138
2017,"Mangoes","Anuradhapura",39472,3227
2017,"Mangoes","Polonnaruwa",9391,867
2017,"Mangoes","Badulla",26613,1321
2017,"Mangoes","Monaragala",21472,2295
2017,"Mangoes","Ratnapura",37416,1473
2017,"Mangoes","Kegalle",19251,946
2018,"Mangoes","Colombo",1578,256
2018,"Mangoes","Gampaha",21904,1509
2018,"Mangoes","Kaluthara",18572,910
2018,"Mangoes","Kandy",24860,2597
2018,"Mangoes","Matale",23323,1388
2018,"Mangoes","Nuwara Eliya",6507,540
2018,"Mangoes","Galle",14609,947
2018,"Mangoes","Matara",13706,1521
2018,"Mangoes","Hanbantota",35795,1549
2018,"Mangoes","Jaffna",5317,427
2018,"Mangoes","Mannar",2263,125
2018,"Mangoes","Vavuniya",2195,251
2018,"Mangoes","Mullativu",2638,226
2018,"Mangoes","Kilinochchi",1017,216
2018,"Mangoes","Batticaloa",6442,579
2018,"Mangoes","Ampara",8748,762
2018,"Mangoes","Trincomalee",14857,418
2018,"Mangoes","Kurunegala",80332,3059
2018,"Mangoes","Puttalam",43738,1141
2018,"Mangoes","Anuradhapura",50359,3450
2018,"Mangoes","Polonnaruwa",15563,797
2018,"Mangoes","Badulla",20808,1026
2018,"Mangoes","Monaragala",20822,2283
2018,"Mangoes","Ratnapura",40160,1496
2018,"Mangoes","Kegalle",17414,967
2019,"Mangoes","Colombo",2174,233
2019,"Mangoes","Gampaha",18616,1641
2019,"Mangoes","Kaluthara",9737,893
2019,"Mangoes","Kandy",21480,1909
2019,"Mangoes","Matale",21413,1163
2019,"Mangoes","Nuwara Eliya",6435,524
2019,"Mangoes","Galle",14877,901
2019,"Mangoes","Matara",26098,1538
2019,"Mangoes","Hanbantota",34915,1492
2019,"Mangoes","Jaffna",4805,733
2019,"Mangoes","Mannar",1972,128
2019,"Mangoes","Vavuniya",1975,237
2019,"Mangoes","Mullativu",1622,193
2019,"Mangoes","Kilinochchi",11038,223
2019,"Mangoes","Batticaloa",5908,584
2019,"Mangoes","Ampara",8667,795
2019,"Mangoes","Trincomalee",12002,424
2019,"Mangoes","Kurunegala",55663,2545
2019,"Mangoes","Puttalam",35226,1079
2019,"Mangoes","Anuradhapura",39595,3230
2019,"Mangoes","Polonnaruwa",8942,1119
2019,"Mangoes","Badulla",18885,1028
2019,"Mangoes","Monaragala",22489,2397
2019,"Mangoes","Ratnapura",42558,1538
2019,"Mangoes","Kegalle",17044,914
2020,"Mangoes","Colombo",2785.4,282.3
2020,"Mangoes","Gampaha",18123,2034
2020,"Mangoes","Kaluthara",9452.4,859.2
2020,"Mangoes","Kandy",26129.1,2029.8
2020,"Mangoes","Matale",25878.6,1493
2020,"Mangoes","Nuwara Eliya",6717,524
2020,"Mangoes","Galle",14587.1,847.6
2020,"Mangoes","Matara",22439,1444
2020,"Mangoes","Hanbantota",37032.1,1664.9
2020,"Mangoes","Jaffna",5715,436
2020,"Mangoes","Mannar",1970.8,638.2
2020,"Mangoes","Vavuniya",1614.6,244
2020,"Mangoes","Mullativu",2329.8,180.9
2020,"Mangoes","Kilinochchi",11086,230.2
2020,"Mangoes","Batticaloa",6728.9,618.9
2020,"Mangoes","Ampara",8803.7,832.3
2020,"Mangoes","Trincomalee",3798,426
2020,"Mangoes","Kurunegala",57163.3,2953
2020,"Mangoes","Puttalam",23122,1129
2020,"Mangoes","Anuradhapura",135696,3568
2020,"Mangoes","Polonnaruwa",10215.9,1084.5
2020,"Mangoes","Badulla",19906.6,1040.3
2020,"Mangoes","Monaragala",19016,2144
2020,"Mangoes","Ratnapura",42979.2,1627.6
2020,"Mangoes","Kegalle",16239,897
2021,"Mangoes","Colombo",2145,244.8
2021,"Mangoes","Gampaha",17490.6,1430.5
2021,"Mangoes","Kaluthara",9440.9,835.5
2021,"Mangoes","Kandy",25351.5,1914.2
2021,"Mangoes","Matale",27393.7,1499.5
2021,"Mangoes","Nuwara Eliya",5255.2,416.2
2021,"Mangoes","Galle",16736.6,891.8
2021,"Mangoes","Matara",18660,1447.8
2021,"Mangoes","Hanbantota",19321.6,1752.8
2021,"Mangoes","Jaffna",5590.7,439.6
2021,"Mangoes","Mannar",1273.8,192.6
2021,"Mangoes","Vavuniya",314.6,146
2021,"Mangoes","Mullativu",2545.1,189.9
2021,"Mangoes","Kilinochchi",11732,237.5
2021,"Mangoes","Batticaloa",8477.1,627.6
2021,"Mangoes","Ampara",2991.4,441.7
2021,"Mangoes","Trincomalee",7368.8,486.1
2021,"Mangoes","Kurunegala",57404.9,2643.4
2021,"Mangoes","Puttalam",28504.9,942.1
2021,"Mangoes","Anuradhapura",122939.7,3334.3
2021,"Mangoes","Polonnaruwa",10550.5,1101.9
2021,"Mangoes","Badulla",14330.9,1157.5
2021,"Mangoes","Monaragala",31004.3,2338.3
2021,"Mangoes","Ratnapura",37554.9,1616.4
2021,"Mangoes","Kegalle",12108.8,923
2022,"Mangoes","Colombo",1810.5,237.1
2022,"Mangoes","Gampaha",52220.2,3368.5
2022,"Mangoes","Kaluthara",9119.7,793.4
2022,"Mangoes","Kandy",26927.4,1921.5
2022,"Mangoes","Matale",24555,1544.7
2022,"Mangoes","Nuwara Eliya",4117.3,372.5
2022,"Mangoes","Galle",16189.1,841
2022,"Mangoes","Matara",20286.9,1376.8
2022,"Mangoes","Hanbantota",21517.5,1754.5
2022,"Mangoes","Jaffna",5530.1,430.2
2022,"Mangoes","Mannar",1162.9,169.5
2022,"Mangoes","Vavuniya",1642.9,309.7
2022,"Mangoes","Mullativu",2639.4,189.7
2022,"Mangoes","Kilinochchi",1203.1,236
2022,"Mangoes","Batticaloa",8704.2,629.7
2022,"Mangoes","Ampara",11285.3,1295
2022,"Mangoes","Trincomalee",4299.3,463.5
2022,"Mangoes","Kurunegala",24845.3,2929.4
2022,"Mangoes","Puttalam",29967.8,1016.7
2022,"Mangoes","Anuradhapura",129400.7,3476.1
2022,"Mangoes","Polonnaruwa",10421.7,1093.9
2022,"Mangoes","Badulla",12931.5,1045.6
2022,"Mangoes","Monaragala",23664.3,2807.5
2022,"Mangoes","Ratnapura",37387.1,1572
2022,"Mangoes","Kegalle",10791.1,1080.9
2023,"Mangoes","Colombo",1813.5,237.5
2023,"Mangoes","Gampaha",34976.1,1176.6
2023,"Mangoes","Kaluthara",8906.3,771.9
2023,"Mangoes","Kandy",25402.7,1839.4
2023,"Mangoes","Matale",23576.5,1330.1
2023,"Mangoes","Nuwara Eliya",3363.4,303
2023,"Mangoes","Galle",15203.6,795.3
2023,"Mangoes","Matara",26241,1193.9
2023,"Mangoes","Hanbantota",20963.3,1864
2023,"Mangoes","Jaffna",5277.3,408.6
2023,"Mangoes","Mannar",1175,169
2023,"Mangoes","Vavuniya",1570.5,244.3
2023,"Mangoes","Mullativu",2705.2,197
2023,"Mangoes","Kilinochchi",1231.2,257.8
2023,"Mangoes","Batticaloa",8587.9,653
2023,"Mangoes","Ampara",70249,769.5
2023,"Mangoes","Trincomalee",3420,356.7
2023,"Mangoes","Kurunegala",22406.2,2555.4
2023,"Mangoes","Puttalam",22544,812.2
2023,"Mangoes","Anuradhapura",120283.9,3257.3
2023,"Mangoes","Polonnaruwa",12005.3,1195.3
2023,"Mangoes","Badulla",8835.5,1110.5
2023,"Mangoes","Monaragala",22913,2772.1
2023,"Mangoes","Ratnapura",37887.7,1597
2023,"Mangoes","Kegalle",28618,1098
2024,"Mangoes","Colombo",1678.2,221.8
2024,"Mangoes","Gampaha",42874.1,1401.5
2024,"Mangoes","Kaluthara",9009.3,781.6
2024,"Mangoes","Kandy",25402.7,1839.4
2024,"Mangoes","Matale",19069.9,1227.8
2024,"Mangoes","Nuwara Eliya",3326.7,300.3
2024,"Mangoes","Galle",15914.4,822.6
2024,"Mangoes","Matara",10560.5,1069.8
2024,"Mangoes","Hanbantota",19668.4,1858.5
2024,"Mangoes","Jaffna",5911.8,473.8
2024,"Mangoes","Mannar",1175,169
2024,"Mangoes","Vavuniya",1494.9,234.6
2024,"Mangoes","Mullativu",2694,206.1
2024,"Mangoes","Kilinochchi",2023,262.9
2024,"Mangoes","Batticaloa",8701,667.4
2024,"Mangoes","Ampara",9006.4,796.4
2024,"Mangoes","Trincomalee",3853.4,388.3
2024,"Mangoes","Kurunegala",32501.2,2918.9
2024,"Mangoes","Puttalam",28501.4,1125.5
2024,"Mangoes","Anuradhapura",110736.7,2917.5
2024,"Mangoes","Polonnaruwa",11907.5,1211.2
2024,"Mangoes","Badulla",10109.8,1110.5
2024,"Mangoes","Monaragala",28404.1,2835.2
2024,"Mangoes","Ratnapura",38821.5,1538.2
2024,"Mangoes","Kegalle",34283,1209.5
2001,"Plantains","Colombo",481,895
2001,"Plantains","Gampaha",2999,3656
2001,"Plantains","Kaluthara",1507,1526
2001,"Plantains","Kandy",1176,2649
2001,"Plantains","Matale",1241,2033
2001,"Plantains","Nuwara Eliya",681,923
2001,"Plantains","Galle",704,1264
2001,"Plantains","Matara",1442,1431
2001,"Plantains","Hanbantota",1139,1576
2001,"Plantains","Jaffna",541,498
2001,"Plantains","Mannar",45,79
2001,"Plantains","Vavuniya",43,60
2001,"Plantains","Mullativu",146,196
2001,"Plantains","Kilinochchi",135,182
2001,"Plantains","Batticaloa",234,444
2001,"Plantains","Ampara",988,1538
2001,"Plantains","Trincomalee",110,269
2001,"Plantains","Kurunegala",5600,8779
2001,"Plantains","Puttalam",543,1383
2001,"Plantains","Anuradhapura",688,1177
2001,"Plantains","Polonnaruwa",544,1098
2001,"Plantains","Badulla",1011,1749
2001,"Plantains","Monaragala",2414,3889
2001,"Plantains","Ratnapura",3464,4197
2001,"Plantains","Kegalle",2551,3870
2002,"Plantains","Colombo",490,902
2002,"Plantains","Gampaha",3009,3630
2002,"Plantains","Kaluthara",1344,1440
2002,"Plantains","Kandy",1168,2603
2002,"Plantains","Matale",1293,2092
2002,"Plantains","Nuwara Eliya",729,1027
2002,"Plantains","Galle",706,1263
2002,"Plantains","Matara",1196,1280
2002,"Plantains","Hanbantota",1674,2210
2002,"Plantains","Jaffna",551,536
2002,"Plantains","Mannar",74,140
2002,"Plantains","Vavuniya",47,67
2002,"Plantains","Mullativu",146,196
2002,"Plantains","Kilinochchi",135,182
2002,"Plantains","Batticaloa",235,443
2002,"Plantains","Ampara",1063,1475
2002,"Plantains","Trincomalee",126,265
2002,"Plantains","Kurunegala",5968,9189
2002,"Plantains","Puttalam",572,1578
2002,"Plantains","Anuradhapura",847,1657
2002,"Plantains","Polonnaruwa",551,1076
2002,"Plantains","Badulla",1047,1753
2002,"Plantains","Monaragala",2448,4134
2002,"Plantains","Ratnapura",3699,4568
2002,"Plantains","Kegalle",2452,3690
2003,"Plantains","Colombo",332,582
2003,"Plantains","Gampaha",2275,2938
2003,"Plantains","Kaluthara",1299,1356
2003,"Plantains","Kandy",1049,2554
2003,"Plantains","Matale",1096,1861
2003,"Plantains","Nuwara Eliya",721,1057
2003,"Plantains","Galle",647,1132
2003,"Plantains","Matara",982,1216
2003,"Plantains","Hanbantota",3364,4248
2003,"Plantains","Jaffna",585,558
2003,"Plantains","Mannar",66,113
2003,"Plantains","Vavuniya",56,72
2003,"Plantains","Mullativu",12,18
2003,"Plantains","Kilinochchi",320,369
2003,"Plantains","Batticaloa",183,365
2003,"Plantains","Ampara",1231,1825
2003,"Plantains","Trincomalee",134,289
2003,"Plantains","Kurunegala",6256,9094
2003,"Plantains","Puttalam",943,2279
2003,"Plantains","Anuradhapura",894,1729
2003,"Plantains","Polonnaruwa",581,1018
2003,"Plantains","Badulla",1152,1753
2003,"Plantains","Monaragala",2417,4132
2003,"Plantains","Ratnapura",4086,5275
2003,"Plantains","Kegalle",2215,3460
2004,"Plantains","Colombo",74,130
